Type,Brand,Product,imgURL,THC,CBD,Effects,Description,ProductUrl
Indica,PURE SUNFARMS,Afghan Kush,https://images.dutchie.com/730017e60c8731c8e08236e45cfacc5c?auto=format&fit=fill&fill=solid&fillColor=%23fff&__typename=ImgixSettings&ixlib=react-9.0.2&h=344&w=344,THC: 18.1%,CBD: 0.5%,"Happy,Relaxed,Sleepy","Pure Sunfarms’ Afghan Kush is an indica-dominant heirloom of cultivars that originated in the Hindu Kush mountain region of Central and Southern Asia. Afghan Kush is a building block for many of the Kush varieties available today. Grown in a high-tech greenhouse in British Columbia’s Fraser Valley, the large buds are carefully trimmed and hand-groomed, dried and cured to precise standards. The dried flowers are dense, sticky, and chunky – their moss-coloured leaves flecked with shades of purple under a cover of frosty trichomes. It offers aromas and flavours of white musk (myrcene), sandalwood and red peppercorns (caryophyllene), and wild mountain strawberries (linalool).,",https://shop.leaflabcannabis.com/stores/leaf-lab-cannabis/product/afghan-kush-12234
Sativa,48NORTH,Green Crush,https://images.dutchie.com/bbdf968d9404531db32364f93c0b08df?auto=format&fit=fill&fill=solid&fillColor=%23fff&__typename=ImgixSettings&ixlib=react-9.0.2&h=344&w=344,THC: 25.6%,CBD: 0.9%,"Creative,Energetic,Focused,Happy,Inspired","Just like your morning coffee – minus the caffeine rush, Green Crush will perk up your taste buds with its tangy, fruity taste and uplifting properties.,,This frosty, deep green flower is the perfect daytime strain to invigorate your mind, sharpen,your focus and energize your body. Citrus, earthy, and sweet notes.,",https://shop.leaflabcannabis.com/stores/leaf-lab-cannabis/product/green-crush
Sativa,7ACRES,Jack Haze [Jack Herer X Super Silver Haze],https://images.dutchie.com/2b5bdbcb7af1b3187f5777b9aa0d2206?auto=format&fit=fill&fill=solid&fillColor=%23fff&__typename=ImgixSettings&ixlib=react-9.0.2&h=344&w=344,THC: 20.6%,CBD: 1%,"Creative,Energetic,Focused,Happy,Inspired","Jack Haze is a bright green, sativa-dominant strain from 7ACRES in Kincardine, Ontario. It has very high potency potential, and its sweet citrus aroma is created by the terpinolene and nerolidol in its terpene profile.,",https://shop.leaflabcannabis.com/stores/leaf-lab-cannabis/product/jack-haze-jack-herer-x-super-silver-haze-
Indica,EDISON CANNABIS CO.,Black Cherry Punch [Purple Punch X Black Cherry Punch],https://images.dutchie.com/926e2fa91ca5367ae6403c2dad773254?auto=format&fit=fill&fill=solid&fillColor=%23fff&__typename=ImgixSettings&ixlib=react-9.0.2&h=344&w=344,THC: 22%,E,"Happy,Relaxed,Sleepy","Edison’s indica-dominant Black Cherry Punch balances the sweet, tart and floral notes of the fruit it’s named for with potent THC. Crown-shaped, emerald green and purple buds are crystal rich with trichomes. Every plant at Edison is nurtured in data-backed, strain-specific grow rooms with customized micro-climates to ensure the highest quality expression of this genetic. Plus, we pack Black Cherry Punch with our dual boost humidity pack to preserve the optimal levels of freshness.,,",https://shop.leaflabcannabis.com/stores/leaf-lab-cannabis/product/black-cherry-punch-purple-punch-x-black-cherry-punch-
Hybrid,SPINACH,Diesel,https://images.dutchie.com/cccef0bbab8a290d222b1d48c2e50b07?auto=format&fit=fill&fill=solid&fillColor=%23fff&__typename=ImgixSettings&ixlib=react-9.0.2&h=344&w=344,THC: 19.6%,CBD: 1%,"Calm,Energetic,Happy,Relaxed","Just mentioning Diesel has power make people smile. A truly iconic strain with an unmistakable smell and undeniable appeal.,",https://shop.leaflabcannabis.com/stores/leaf-lab-cannabis/product/diesel
Sativa,EDISON CANNABIS CO.,The General [Grapefruit GG#4],https://images.dutchie.com/cb984e95f74c9d497b283637c7699378?auto=format&fit=fill&fill=solid&fillColor=%23fff&__typename=ImgixSettings&ixlib=react-9.0.2&h=344&w=344,THC: 19.4%,E,"Creative,Energetic,Focused,Happy,Inspired","Edison’s Sativa dominant The General can be identified by its vivid green buds, tangerine pistils, grapefruit undertones and citrusy gasoline aroma, potent in THC. Every plant at Edison is nurtured in data-backed, strain specific grow rooms with customized micro-climates to ensure consistent quality. And we pack The General with our dual boost humidity pack to preserve freshness. Because the only place dry herb belongs is in your kitchen.,,Flavours: Grapefruit, diesel,,Dominant Terpenes: Terpinolene, Limonene, Myrcene,,Strain: Grapefruit GG4 (sativa),",https://shop.leaflabcannabis.com/stores/leaf-lab-cannabis/product/the-general-grapefruit-gg-4-
Sativa,GOOD SUPPLY,Jack Herer - 15g,https://images.dutchie.com/127d6064da7c7a6d9ebe218a7c9b35d3?auto=format&fit=fill&fill=solid&fillColor=%23fff&__typename=ImgixSettings&ixlib=react-9.0.2&h=344&w=344,THC: 18.4%,E,"Creative,Energetic,Focused,Happy,Inspired","The hemporer’s new clothes smelling skunky, that’s what you get when you hang with blissful buds all day. Need to get away? Hit the road, Jack – you’ll find good, citrusy haze right Herer.,,",https://shop.leaflabcannabis.com/stores/leaf-lab-cannabis/product/jack-herer-15g
Hybrid,GOOD SUPPLY,Monkey Glue [GG#4] - 15g,https://images.dutchie.com/a4c730d07930efa0d0414a22604ac79f?auto=format&fit=fill&fill=solid&fillColor=%23fff&__typename=ImgixSettings&ixlib=react-9.0.2&h=344&w=344,THC: 18.28%,E,"Calm,Energetic,Happy,Relaxed","Get stuck with Monkey Glue. These chunky, resin-covered buds deliver pungent, earthy and sour aromas. There's no monkeying around when it comes to this potent, sativa-dominant strain you'll definitely develop a bond.,",https://shop.leaflabcannabis.com/stores/leaf-lab-cannabis/product/monkey-glue-gg-4-15g
Indica,PURE SUNFARMS,Pink Kush,https://images.dutchie.com/6a246029e51b0f916e76456d3bb70eb0?auto=format&fit=fill&fill=solid&fillColor=%23fff&__typename=ImgixSettings&ixlib=react-9.0.2&h=344&w=344,THC: 21.8% - 22.2%,E,"Happy,Relaxed,Sleepy","Pure Sunfarms’ cut of Pink Kush from BC’s Vancouver Island is a coastal relative of the legendary OG Kush. This special strain is beloved across Canada for its strong aromas, colourful flowers, and high THC potential. Beneath a thick coating of trichomes, the dense and round buds feature forest green leaves, often with a purple hue, mixed with dark amber pistils. Pink Kush showcases gassy aromas of white pepper, orange, butterscotch, coffee, earth, and grapefruit, the result of a rich combination of terpenes that includes caryophyllene, myrcene, humulene, bisabolol, and limonene.,",https://shop.leaflabcannabis.com/stores/leaf-lab-cannabis/product/pink-kush-67461
High CBD,PURE SUNFARMS,Pure Sun CBD [Cannatonic],https://images.dutchie.com/ec3c0796be789146952083004daf7f41?auto=format&fit=fill&fill=solid&fillColor=%23fff&__typename=ImgixSettings&ixlib=react-9.0.2&h=344&w=344,THC: 0.7%,CBD: 14%,"Calm,Clear mind,Happy,Relaxed","Chosen for its strong CBD potential (and less than 1% THC), Pure Sun CBD is a hand-selected phenotype of the Cannatonic strain. The dried flowers are tight and compact, featuring a mix of pale and jade green leaves dotted with a generous dusting of trichomes. The delicate aromas and flavours are reminiscent of fresh flowers (bisabolol), creamsicle and brown sugar (myrcene), and cardamom (guaiol).,",https://shop.leaflabcannabis.com/stores/leaf-lab-cannabis/product/pure-sun-cbd-cannatonic-
